id,data,fornecedor,tipo,valor,nif,ficheiro
149,2026-03-05,"BIR Brisa essão Rodoviária,S.A",despesa,2.45,,1773094691779-WhatsApp Image 2026-03-07 at 12.08.14.jpeg
177,2026-03-05,"AO NATURAL",despesa,39.37,,1773266588301-captura-1773266587554.jpg
143,2026-03-05,"BIR Brisa essão Rodoviária,S.A",despesa,2.45,,1772940723288-WhatsApp Image 2026-03-07 at 12.08.14.jpeg
147,2026-03-03,"Moloni,Unipessoal,Lda",despesa,95.79,,1772988113315-moloni_fr_M-317481.pdf
127,2026-03-03,"Moloni,Unipessoal,Lda",receita,95.79,,2026/03/03/1772931337454-moloni_fr_M-317481.pdf
140,2026-03-03,"TERES",despesa,26.50,,1772933201405-WhatsApp Image 2026-03-07 at 13.40.33.jpeg
125,2026-03-03,"Moloni,Unipessoal,Lda",despesa,95.79,,2026/03/03/1772931219008-moloni_fr_M-317481.pdf
148,2026-03-03,"TERES",despesa,26.50,,1773094588285-WhatsApp Image 2026-03-07 at 13.40.33.jpeg
126,2026-02-28,"Moloni,Unipessoal,Lda",receita,160.88,,2026/02/28/1772931278499-moloni_fr_M-316819.pdf
175,2026-02-24,"AGN Combustíveis é Lubrificantes,Lda",despesa,20.00,,1773266283144-captura-1773266282593.jpg
173,2026-02-24,"AEM Combustíveis é Lub {ficantes,Lda",despesa,20.00,,1773265732527-captura-1773265731975.jpg
139,2026-02-20,"Grés de Portugal",receita,49947.30,,1772933113561-PI BM 0226_pf_L-6.pdf
137,2026-02-20,"Grés de Portugal",receita,49947.30,,1772931987908-PI BM 0226_pf_L-6.pdf
142,2026-02-20,"Grés de Portugal",despesa,49947.30,,1772940654203-PI BM 0226_pf_L-6.pdf
93,2026-02-13,"Exmo.(s) Senhor(es)",despesa,370.51,,13/02/ffe6c636-4644-452a-b35e-c6da0733b45c.pdf
150,2026-02-08,"insparedes",despesa,93.52,,1773103380033-trstes recibo1.jpeg
156,2026-02-08,"|) la!",despesa,93.52,,1773231790535-captura-1773231790003.jpg
155,2026-02-08,"ATOMÓVEIO",despesa,93.03,,1773231692301-captura-1773231691725.jpg
83,2026-02-05,"DESCONTO LINHA",despesa,16000.00,,05/02/eca33bc9-4c19-4cb3-af6b-92a15ad73f51.pdf
81,2026-02-03,"pi ária À",despesa,2.45,,1772906589132-WhatsApp Image 2026-03-07 at 12.08.14.jpeg
124,2026-02-02,"TERES",despesa,26.50,,1772929310134-WhatsApp Image 2026-03-07 at 13.40.33.jpeg
85,2026-02-02,"pi ária À",despesa,2.45,,1772908428616-WhatsApp Image 2026-03-07 at 12.08.14.jpeg
104,2026-02-01,"TERES",despesa,18.88,,1772913719702-WhatsApp Image 2026-03-07 at 13.40.33.jpeg
78,2026-01-23,"pi ária À",despesa,2.45,,1772906213485-WhatsApp Image 2026-03-07 at 12.08.14.jpeg
97,2026-01-07,"FAGTURA SIMPLIFICADA",despesa,2.45,,1772911128562-captura-1772911127951.jpg
82,2026-01-07,"EUR Sa |",despesa,18.85,,1772906697409-captura-1772906696779.jpg
84,2026-01-06,"Brisalll lol",despesa,2.45,,1772907663567-captura-1772907663001.jpg
79,2026-01-03,"teste",despesa,2.45,,1772906269276-WhatsApp Image 2026-03-07 at 12.08.14.jpeg
14,2025-12-18T00:00:00.000+00:00,"Referência:",receita,11.07,,1772803394797-Factura-recibo-soh-1197711.pdf
72,2025-12-18,"Referência:",despesa,9.00,,1772902184316-Factura-recibo-soh-1197711.pdf
146,2025-03-12,"Teste",despesa,160.88,,1772966180277-moloni_fr_M-271912.pdf
129,2025-02-20,"Grés de Portugal",despesa,49947.30,,2025/02/20/1772931490152-PI BM 0226_pf_L-6.pdf
128,2025-02-20,"Grés de Portugal",receita,49947.30,,2025/02/20/1772931437678-PI BM 0226_pf_L-6.pdf
132,2025-02-20,"Grés de Portugal",receita,49947.30,,1772931644561-PI BM 0226_pf_L-6.pdf
136,2025-02-20,"Grés de Portugal",receita,49947.30,,1772931964487-PI BM 0226_pf_L-6.pdf
130,2025-02-20,"Grés de Portugal",receita,49947.30,,2025/02/20/1772931508116-PI BM 0226_pf_L-6.pdf
106,2025-02-20,"Grés de Portugal",despesa,49947.30,,1772913817178-PI BM 0226_pf_L-6.pdf
105,2025-02-20,"Grés de Portugal",despesa,49947.30,,1772913760286-PI BM 0226_pf_L-6.pdf
102,2025-02-20,"Grés de Portugal",receita,49947.30,,1772913132270-PI BM 0226_pf_L-6.pdf
101,2025-02-20,"Grés de Portugal",receita,49947.30,,1772913074821-PI BM 0226_pf_L-6.pdf
96,2025-02-20,"Grés de Portugal",receita,49947.30,,1772911029743-PI BM 0226_pf_L-6.pdf
133,2025-02-20,"Grés de Portugal",despesa,49947.30,,1772931838681-PI BM 0226_pf_L-6.pdf
134,2025-02-20,"Grés de Portugal",receita,49947.30,,1772931867245-PI BM 0226_pf_L-6.pdf
131,2025-02-20,"Grés de Portugal",receita,49947.30,,2025/02/20/1772931528935-PI BM 0226_pf_L-6.pdf
135,2025-02-20,"Grés de Portugal",receita,49947.30,,1772931903446-PI BM 0226_pf_L-6.pdf
141,2025-02-20,"Grés de Portugal",despesa,49947.30,,1772940642078-PI BM 0226_pf_L-6.pdf
95,2025-02-20,"Grés de Portugal",despesa,49947.30,,1772910935875-PI BM 0226_pf_L-6.pdf
138,2018-02-20,"SEDE OU DOMICÍLIO",despesa,200.00,,1772932209937-documento (47).pdf
90,2018-02-20,"AT",despesa,200.00,,2026/02/documento (47).pdf
91,2018-02-20,"AT",despesa,200.00,,2026/02/documento (47).pdf
92,2018-02-20,"SEDE OU DOMICÍLIO",despesa,200.00,,2026/02/documento (47).pdf
