data,fornecedor,tipo,total,iva,semiva,nif,ficheiro
2025-02-20,"Grés de Portugal",receita,49947.30,9339.74,40607.56,,2025/02/20/1772931508116-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",despesa,49947.30,9339.74,40607.56,,1772913817178-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",despesa,49947.30,9339.74,40607.56,,1772913760286-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",receita,49947.30,9339.74,40607.56,,1772913132270-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",receita,49947.30,9339.74,40607.56,,1772913074821-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",receita,49947.30,9339.74,40607.56,,1772911029743-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",despesa,49947.30,9339.74,40607.56,,1772931838681-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",receita,49947.30,9339.74,40607.56,,1772931867245-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",receita,49947.30,9339.74,40607.56,,2025/02/20/1772931528935-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",receita,49947.30,9339.74,40607.56,,1772931903446-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",despesa,49947.30,9339.74,40607.56,,1772940642078-PI BM 0226_pf_L-6.pdf
2025-02-20,"Grés de Portugal",despesa,49947.30,9339.74,40607.56,,1772910935875-PI BM 0226_pf_L-6.pdf
2018-02-20,"SEDE OU DOMICÍLIO",despesa,200.00,37.40,162.60,,1772932209937-documento (47).pdf
2018-02-20,"AT",despesa,200.00,37.40,162.60,,2026/02/documento (47).pdf
2018-02-20,"AT",despesa,200.00,37.40,162.60,,2026/02/documento (47).pdf
2018-02-20,"SEDE OU DOMICÍLIO",despesa,200.00,37.40,162.60,,2026/02/documento (47).pdf
